well,cell,drug,concentration,tau,auto_tau,brightness
1,1,after,25,10,FALSE,0.9735510913146963
1,1,after,25,162,TRUE,1.0668082587887684
1,1,after,25,NA,FALSE,1.0803945046188326
1,1,before,0,10,FALSE,0.9602617680382362
1,1,before,0,98,TRUE,1.0218029245161933
1,1,before,0,NA,FALSE,1.0371193434129702
1,2,after,25,10,FALSE,1.0085294374856344
1,2,after,25,NA,TRUE,1.1653549763092779
1,2,after,25,NA,FALSE,1.1653549763092779
1,2,before,0,10,FALSE,0.9918904495058168
1,2,before,0,160,TRUE,1.0984387399255597
1,2,before,0,NA,FALSE,1.11507852797915
1,3,after,25,10,FALSE,0.9898923917750544
1,3,after,25,189,TRUE,1.099321768887521
1,3,after,25,NA,FALSE,1.11590609741634
1,3,before,0,10,FALSE,0.9782074883781766
1,3,before,0,269,TRUE,1.0848794135617799
1,3,before,0,NA,FALSE,1.0918156892859952
1,4,after,25,10,FALSE,1.0129825467076812
1,4,after,25,126,TRUE,1.1503780558305787
1,4,after,25,NA,FALSE,1.1938797491410942
1,4,before,0,10,FALSE,1.0032092988181232
1,4,before,0,142,TRUE,1.1180214861014202
1,4,before,0,NA,FALSE,1.142242622575318
1,5,after,25,10,FALSE,1.0006674048864255
1,5,after,25,150,TRUE,1.1037847602721436
1,5,after,25,NA,FALSE,1.122386772042
1,5,before,0,10,FALSE,1.0087476172385326
1,5,before,0,102,TRUE,1.1312314526765137
1,5,before,0,NA,FALSE,1.1791008334939193
2,1,after,12.5,10,FALSE,0.978107529928322
2,1,after,12.5,188,TRUE,1.099998775178587
2,1,after,12.5,NA,FALSE,1.114565447536187
2,1,before,0,10,FALSE,0.9695720000550525
2,1,before,0,NA,TRUE,1.018766623997467
2,1,before,0,NA,FALSE,1.018766623997467
2,2,after,12.5,10,FALSE,0.979782986255348
2,2,after,12.5,140,TRUE,1.0814174988731111
2,2,after,12.5,NA,FALSE,1.100213063745174
2,2,before,0,10,FALSE,0.9674121316951747
2,2,before,0,78,TRUE,1.0485140343556472
2,2,before,0,NA,FALSE,1.096332015148029
2,3,after,12.5,10,FALSE,0.9998694799870071
2,3,after,12.5,NA,TRUE,1.0971256757242294
2,3,after,12.5,NA,FALSE,1.0971256757242294
2,3,before,0,10,FALSE,0.975177439324795
2,3,before,0,123,TRUE,1.0494558154756812
2,3,before,0,NA,FALSE,1.0607417218646895
2,4,after,12.5,10,FALSE,0.9850156658279822
2,4,after,12.5,138,TRUE,1.0595834302902536
2,4,after,12.5,NA,FALSE,1.068638672509719
2,4,before,0,10,FALSE,0.9632233595867498
2,4,before,0,105,TRUE,1.0265947658993666
2,4,before,0,NA,FALSE,1.0405641094027258
2,5,after,12.5,10,FALSE,0.9675175109363585
2,5,after,12.5,136,TRUE,1.034329897640767
2,5,after,12.5,NA,FALSE,1.0389766587481635
2,5,before,0,10,FALSE,0.9645573181904726
2,5,before,0,128,TRUE,1.030564235007539
2,5,before,0,NA,FALSE,1.0401184794173621
3,1,after,5,10,FALSE,0.9962441853132817
3,1,after,5,143,TRUE,1.137358859010501
3,1,after,5,NA,FALSE,1.178563044408798
3,1,before,0,10,FALSE,0.9681184304097056
3,1,before,0,93,TRUE,1.0388423610705761
3,1,before,0,NA,FALSE,1.0624170442380312
3,2,after,5,10,FALSE,0.9930211583413928
3,2,after,5,170,TRUE,1.1031866009337647
3,2,after,5,NA,FALSE,1.119065006343677
3,2,before,0,10,FALSE,0.9662355998032165
3,2,before,0,129,TRUE,1.0328439434461352
3,2,before,0,NA,FALSE,1.0406938509594414
3,3,after,5,10,FALSE,0.961722811369064
3,3,after,5,88,TRUE,1.0190086471881574
3,3,after,5,NA,FALSE,1.0348491514205276
3,3,before,0,10,FALSE,0.9784661893648187
3,3,before,0,133,TRUE,1.060823401204418
3,3,before,0,NA,FALSE,1.0770308641759356
3,4,after,5,10,FALSE,1.3080959575208984
3,4,after,5,186,TRUE,1.758591606368959
3,4,after,5,NA,FALSE,1.8094297995811348
3,4,before,0,10,FALSE,1.0096887568386226
3,4,before,0,91,TRUE,1.1228222817522215
3,4,before,0,NA,FALSE,1.1757337214922288
3,5,after,5,10,FALSE,0.9910761105634585
3,5,after,5,NA,TRUE,1.0670814338691277
3,5,after,5,NA,FALSE,1.0670814338691277
3,5,before,0,10,FALSE,0.9921289325056151
3,5,before,0,111,TRUE,1.0695262934147636
3,5,before,0,NA,FALSE,1.0888726763304135
4,1,after,0.5,10,FALSE,1.0844358191803685
4,1,after,0.5,122,TRUE,1.2640114467471069
4,1,after,0.5,NA,FALSE,1.2953108921964194
4,1,before,0,10,FALSE,1.0492530666386293
4,1,before,0,121,TRUE,1.2186624006034212
4,1,before,0,NA,FALSE,1.2726437298734254
4,2,after,0.5,10,FALSE,0.9822058182334498
4,2,after,0.5,124,TRUE,1.043917469912292
4,2,after,0.5,NA,FALSE,1.0514565582219655
4,2,before,0,10,FALSE,0.9684317830177902
4,2,before,0,72,TRUE,1.0353286833839417
4,2,before,0,NA,FALSE,1.0744993233425435
4,3,after,0.5,10,FALSE,0.9764058434410706
4,3,after,0.5,144,TRUE,1.0466669828707735
4,3,after,0.5,NA,FALSE,1.0539013057588407
4,3,before,0,10,FALSE,0.9664615963287856
4,3,before,0,130,TRUE,1.0298342696779537
4,3,before,0,NA,FALSE,1.0392494449286036
4,4,after,0.5,10,FALSE,0.9629457715515838
4,4,after,0.5,NA,TRUE,1.0462296199445427
4,4,after,0.5,NA,FALSE,1.0462296199445427
4,4,before,0,10,FALSE,1.0466132217601891
4,4,before,0,176,TRUE,1.1598720907342384
4,4,before,0,NA,FALSE,1.177258987796207
4,5,after,0.5,10,FALSE,1.4018234180854021
4,5,after,0.5,221,TRUE,2.026590106101322
4,5,after,0.5,NA,FALSE,2.130115669020674
4,5,before,0,10,FALSE,0.9909670537966508
4,5,before,0,142,TRUE,1.1222960555028696
4,5,before,0,NA,FALSE,1.1632041371625323
