sim,tau,bleaching,mean_brightness,sd_brightness,bleaching_type,bleaching_extent
01M,10,exponential0.5,0.9946915003472379,0.014603550539791102,exponential,0.5
01M,10,exponential0.75,1.008399575030325,0.022011341290686288,exponential,0.75
01M,10,exponential0.9,1.0160693457772982,0.027003998239201802,exponential,0.9
01M,10,exponential0.95,1.0185069320781133,0.02868713489144553,exponential,0.95
01M,10,exponential0.99,1.0202930979447495,0.029927468335748213,exponential,0.99
01M,10,linear0.5,0.9975460793366008,0.014961093999362886,linear,0.5
01M,10,linear0.75,1.0093696986771727,0.022633875775488393,linear,0.75
01M,10,linear0.9,1.0159972378848052,0.026692304414280964,linear,0.9
01M,10,linear0.95,1.0183061163209537,0.028690326932493626,linear,0.95
01M,10,linear0.99,1.0203321196174224,0.029948075160961877,linear,0.99
01M,10,none,1.0207549170465071,0.030270752346854526,none,NA
01M,10,power0.5,0.9875309261594303,0.013961102135695125,power,0.5
01M,10,power0.75,1.0035083168777312,0.02194538155850456,power,0.75
01M,10,power0.9,1.0137943295594538,0.027419313294388948,power,0.9
01M,10,power0.95,1.017331564701926,0.028645635667397047,power,0.95
01M,10,power0.99,1.0200968975052165,0.02998677956329636,power,0.99
01M,auto,exponential0.5,1.2073118208591505,0.014174428191676032,exponential,0.5
01M,auto,exponential0.75,1.402426961106148,0.007988586062279656,exponential,0.75
01M,auto,exponential0.9,1.5158206879020837,0.06384465854040076,exponential,0.9
01M,auto,exponential0.95,1.5868634652450693,0.0197622671564867,exponential,0.95
01M,auto,exponential0.99,1.697430146604171,0.09409094264052527,exponential,0.99
01M,auto,linear0.5,1.3607255421460223,0.007145987513472137,linear,0.5
01M,auto,linear0.75,1.449211273466181,0.006581781758586567,linear,0.75
01M,auto,linear0.9,1.514130800748037,0.02376165257176499,linear,0.9
01M,auto,linear0.95,1.6027552787773922,0.03487449470533983,linear,0.95
01M,auto,linear0.99,1.678185457370191,0.05177998536264354,linear,0.99
01M,auto,none,1.6883876518933505,0.07177127195374214,none,NA
01M,auto,power0.5,1.0942473034286377,0.014712323559416618,power,0.5
01M,auto,power0.75,1.178708873212095,0.021925476831558238,power,0.75
01M,auto,power0.9,1.2585592668083707,0.017885077320924706,power,0.9
01M,auto,power0.95,1.607471855750408,0.044325640530506485,power,0.95
01M,auto,power0.99,1.6743647392752168,0.05883842839490726,power,0.99
01M,NA,exponential0.5,2.11745236364834,0.03499435458706302,exponential,0.5
01M,NA,exponential0.75,1.925691674918344,0.05859890718018185,exponential,0.75
01M,NA,exponential0.9,1.9235532850952584,0.06971369773005169,exponential,0.9
01M,NA,exponential0.95,1.936594010071312,0.07302682154631965,exponential,0.95
01M,NA,exponential0.99,1.951322221674089,0.07523620511122239,exponential,0.99
01M,NA,linear0.5,2.127786864335019,0.035857630973729904,linear,0.5
01M,NA,linear0.75,1.9306004552727034,0.059751762630833434,linear,0.75
01M,NA,linear0.9,1.9240918477983289,0.06942094572527646,linear,0.9
