sim,replicate,bleaching,tau,auto_tau,brightness
01M,1,none,10,FALSE,1.0156765528707452
01M,1,none,731,TRUE,1.6836183801064384
01M,1,none,NA,FALSE,1.9378854525957487
01M,1,exponential0.5,10,FALSE,1.0002563498164545
01M,1,exponential0.5,63,TRUE,1.2112394814828384
01M,1,exponential0.5,NA,FALSE,2.1143668487928218
01M,1,exponential0.75,10,FALSE,1.0088776508459518
01M,1,exponential0.75,167,TRUE,1.4022516443690454
01M,1,exponential0.75,NA,FALSE,1.9114402188346638
01M,1,exponential0.9,10,FALSE,1.0133500998308407
01M,1,exponential0.9,302,TRUE,1.5186726556820904
01M,1,exponential0.9,NA,FALSE,1.9066266057699106
01M,1,exponential0.95,10,FALSE,1.0146247852044372
01M,1,exponential0.95,380,TRUE,1.5650011311963974
01M,1,exponential0.95,NA,FALSE,1.9192495144598904
01M,1,exponential0.99,10,FALSE,1.0155354130440257
01M,1,exponential0.99,696,TRUE,1.672497139614884
01M,1,exponential0.99,NA,FALSE,1.9338275915967382
01M,1,linear0.5,10,FALSE,1.0028240092650262
01M,1,linear0.5,174,TRUE,1.3617443406225425
01M,1,linear0.5,NA,FALSE,2.123070174261456
01M,1,linear0.75,10,FALSE,1.0096886393238462
01M,1,linear0.75,233,TRUE,1.4492607438014613
01M,1,linear0.75,NA,FALSE,1.9160075817094462
01M,1,linear0.9,10,FALSE,1.013326039825352
01M,1,linear0.9,331,TRUE,1.5317743141733764
01M,1,linear0.9,NA,FALSE,1.907205834542352
01M,1,linear0.95,10,FALSE,1.0143024289451648
01M,1,linear0.95,396,TRUE,1.571162046138889
01M,1,linear0.95,NA,FALSE,1.919213064990659
01M,1,linear0.99,10,FALSE,1.0155341711480939
01M,1,linear0.99,785,TRUE,1.6918950388483243
01M,1,linear0.99,NA,FALSE,1.9337442084490923
01M,1,power0.5,10,FALSE,0.9874606276805474
01M,1,power0.5,27,TRUE,1.0900151692177529
01M,1,power0.5,NA,FALSE,1.671447070276701
01M,1,power0.75,10,FALSE,1.0010116230177684
01M,1,power0.75,41,TRUE,1.1647282481759929
01M,1,power0.75,NA,FALSE,1.7752282385552172
01M,1,power0.9,10,FALSE,1.010093389676319
01M,1,power0.9,58,TRUE,1.2417446065429598
01M,1,power0.9,NA,FALSE,1.8671748692513204
01M,1,power0.95,10,FALSE,1.01267089266859
01M,1,power0.95,447,TRUE,1.582319122030337
01M,1,power0.95,NA,FALSE,1.9015898714636275
01M,1,power0.99,10,FALSE,1.0151339508709212
01M,1,power0.99,652,TRUE,1.6601111199699656
01M,1,power0.99,NA,FALSE,1.9305552449405707
01M,2,none,10,FALSE,0.9933445396949181
01M,2,none,467,TRUE,1.6191199604496924
01M,2,none,NA,FALSE,1.8901068070892861
01M,2,exponential0.5,10,FALSE,0.97812364757586
01M,2,exponential0.5,59,TRUE,1.1915877388751956
01M,2,exponential0.5,NA,FALSE,2.084102936399264
01M,2,exponential0.75,10,FALSE,0.9861530900181571
01M,2,exponential0.75,164,TRUE,1.410501762600105
01M,2,exponential0.75,NA,FALSE,1.8755329904002846
01M,2,exponential0.9,10,FALSE,0.9905278498701752
01M,2,exponential0.9,173,TRUE,1.4505978378353102
01M,2,exponential0.9,NA,FALSE,1.863861542068087
01M,2,exponential0.95,10,FALSE,0.9919585616801131
01M,2,exponential0.95,424,TRUE,1.5921310675242504
01M,2,exponential0.95,NA,FALSE,1.873800930485713
01M,2,exponential0.99,10,FALSE,0.9930294592780342
01M,2,exponential0.99,473,TRUE,1.6183168250343565
01M,2,exponential0.99,NA,FALSE,1.8863746250947944
01M,2,linear0.5,10,FALSE,0.9806613456879419
01M,2,linear0.5,169,TRUE,1.36730745271561
01M,2,linear0.5,NA,FALSE,2.0945209995544496
01M,2,linear0.75,10,FALSE,0.9865780379987652
01M,2,linear0.75,220,TRUE,1.4557681806188214
01M,2,linear0.75,NA,FALSE,1.8794968991744818
01M,2,linear0.9,10,FALSE,0.9907409652120731
01M,2,linear0.9,217,TRUE,1.4871116277778689
01M,2,linear0.9,NA,FALSE,1.86467164920706
01M,2,linear0.95,10,FALSE,0.9918279191900381
01M,2,linear0.95,439,TRUE,1.5969271148771864
01M,2,linear0.95,NA,FALSE,1.8739929640673956
01M,2,linear0.99,10,FALSE,0.9930726722199283
01M,2,linear0.99,483,TRUE,1.6209302458399604
01M,2,linear0.99,NA,FALSE,1.8864404232673717
01M,2,power0.5,10,FALSE,0.9736051060042985
01M,2,power0.5,28,TRUE,1.0821148883506067
01M,2,power0.5,NA,FALSE,1.6431082464860067
01M,2,power0.75,10,FALSE,0.9829180589627237
01M,2,power0.75,45,TRUE,1.1674198770180768
01M,2,power0.75,NA,FALSE,1.737903099067144
01M,2,power0.9,10,FALSE,0.9884134568142949
01M,2,power0.9,66,TRUE,1.256582648227096
01M,2,power0.9,NA,FALSE,1.8229152057745635
01M,2,power0.95,10,FALSE,0.9913020515487289
